date(1995-2025),lat,lon,District,STATE,Dist_Code,TEHSIL,Tmin_Mean
11-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,15.21
12-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,15.52
13-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,15.63
14-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,15.51
15-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,15.75
16-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,15.99
17-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,16.76
18-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,16.65
19-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,16.85
20-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,17.18
21-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,17.35
22-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,17.14
23-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,17.24
24-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,17.73
25-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,18.22
26-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,18.35
27-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,18.26
28-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,18.55
29-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,19.17
30-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,19.22
31-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,19.03
01-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,18.98
02-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,19.16
03-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,19.37
04-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,19.68
05-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,19.65
06-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,20.3
07-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,20.44
08-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,21.12
09-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,21.02
10-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,20.78
11-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,20.84
12-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,21.41
13-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,21.91
14-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,21.98
15-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,22.13
16-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,22.74
17-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,22.85
18-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,22.51
19-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,22.55
20-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,23.24
21-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,23.1
22-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,22.82
23-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,22.7
24-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,22.56
25-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,22.88
26-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,23.31
27-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,23.57
28-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,23.61
29-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,23.82
30-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,23.85
01-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,23.8
02-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,23.78
03-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,23.82
04-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,23.54
05-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,23.73
06-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,24.08
07-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,24.25
08-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,24.66
09-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.12
10-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,24.97
11-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,24.82
12-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.07
13-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,24.99
14-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.32
15-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.38
16-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.47
17-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.55
18-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.88
19-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.68
20-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.59
21-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.57
22-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.49
23-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.13
24-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.24
25-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.23
26-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.26
27-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.54
28-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.09
29-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.77
30-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.23
31-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.32
01-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.62
02-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.43
03-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.72
04-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,27.14
05-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.8
06-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.6
07-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.41
08-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,27.01
09-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.73
10-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,27.31
11-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,27.98
12-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,27.72
13-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,27.57
14-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,27.65
15-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,27.21
16-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,27.23
17-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.98
18-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.94
19-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.76
20-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.7
21-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.92
22-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.93
23-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.51
24-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.58
25-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.85
26-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.91
27-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.73
28-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.21
29-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.21
30-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.16
01-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.53
02-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.56
03-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.56
04-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.67
05-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.22
06-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.2
07-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.16
08-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.49
09-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.49
10-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.49
11-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.35
12-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.03
13-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.28
14-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.27
15-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.27
16-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.29
17-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.41
18-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.5
19-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.51
20-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.2
21-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.87
22-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.15
23-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.2
24-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.24
25-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.17
26-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.01
27-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.93
28-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26
29-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.89
30-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.91
31-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.96
01-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.89
02-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.85
03-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.67
04-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.87
05-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.21
06-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.17
07-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.16
08-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.19
09-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.07
10-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.08
11-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.12
12-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.94
13-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.87
14-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.79
15-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.68
16-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.76
17-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.87
18-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.91
19-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.66
20-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.7
21-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.94
22-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.79
23-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.59
24-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.69
25-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.72
26-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.67
27-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.87
28-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.94
29-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.06
30-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.01
31-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.82
01-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.8
02-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.65
03-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.55
04-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.67
05-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.6
06-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.49
07-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.38
08-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.51
09-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.57
10-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.49
11-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.37
12-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.38
13-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.33
14-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.32
15-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.25
16-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.09
17-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.13
18-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.07
19-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,24.97
20-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.15
21-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,24.97
22-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,24.62
23-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,24.76
