STATE,District,Dist_Code,TEHSIL,lat,lon,date,Tmax_mean,Tmax_Std,Tmin_Mean,Tmin_Std,IMD_pr_Mean,IMD_pr_std
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,08-10,33.37,1.35,26.03,0.86,6.37,12.2057
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,08-11,32.91,1.47,26.01,0.7,12.1414,30.0557
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,08-12,32.54,1.85,25.83,0.68,11.8414,17.3757
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,08-13,32.49,1.67,25.74,0.64,12.1386,13.4829
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,08-14,32.66,1.49,25.68,0.76,14.1043,22.31
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,08-15,32.76,1.8,25.46,0.68,14.1057,19.9757
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,08-16,33.17,1.77,25.69,0.68,9.8314,15.3114
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,08-17,33.62,1.7,25.89,0.85,7.52,11.8186
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,08-18,32.92,1.72,25.85,0.8,11.0514,16.1071
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,08-19,32.73,1.64,25.59,0.8,10.3286,14.85
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,08-20,32.98,1.32,25.56,0.7,7.6171,12.4643
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,08-21,33.05,1.42,25.73,0.66,5.4043,8.2371
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,08-22,32.95,1.6,25.63,0.76,8.56,13.35
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,08-23,33.06,1.49,25.5,0.67,9.3486,16.2957
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,08-24,32.96,1.32,25.51,0.59,7.8971,13.2386
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,08-25,33.24,1.46,25.62,0.6,8.4186,13.5629
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,08-26,33.47,1.24,25.68,0.66,11.5357,21.16
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,08-27,33.38,1.23,25.79,0.69,8.98,16.5457
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,08-28,33.46,1.34,25.81,0.85,4.28,9.9943
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,08-29,33.52,1.35,25.95,0.74,6.2157,10.2029
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,08-30,33.66,1.43,25.83,0.76,7.0671,13.7814
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,08-31,33.61,1.7,25.65,0.77,8.2871,16.6171
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,09-01,33.18,1.69,25.63,0.94,7.8043,13.8886
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,09-02,32.81,2.01,25.59,0.96,5.2986,8.5829
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,09-03,33.34,1.71,25.42,0.87,7.8371,14.16
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,09-04,33.47,1.7,25.4,0.57,4.3214,9.74
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,09-05,33.51,1.69,25.39,0.71,5.1257,9.6629
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,09-06,33.2,1.9,25.29,0.95,6.2786,11.5486
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,09-07,33.28,1.75,25.29,0.77,3.7814,7.3814
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,09-08,33.25,1.8,25.27,0.85,4.7886,13.5129
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,09-09,33.37,1.92,25.47,0.88,4.7629,13.9057
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,09-10,33.38,1.8,25.35,0.74,3.3329,8.6771
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,09-11,33.07,1.75,25.11,0.76,3.7543,9.5486
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,09-12,32.9,1.77,25.23,0.75,11.2443,22.8886
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,09-13,33.06,1.88,25.17,0.76,7.4529,15.2186
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,09-14,33.16,1.72,25.16,0.87,4.65,11.1057
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,09-15,32.66,1.86,25.1,0.77,5.9886,10.8886
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,09-16,32.84,2.11,24.96,0.85,14.98,26.1157
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,09-17,32.83,2.23,24.89,0.92,14.3343,29.28
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,09-18,33.07,1.93,24.76,0.84,5.1786,13.8529
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,09-19,33.32,1.99,24.77,0.88,7.4243,22.6714
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,09-20,33.38,1.73,25.02,0.89,4.45,16.1771
