 date(1995-2025),lat,lon,District,STATE,Dist_Code,TEHSIL,Tmin_Std
02-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.07
03-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.07
04-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.82
05-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.34
06-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.15
07-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.14
08-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.11
09-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.27
10-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.82
11-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.79
12-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.87
13-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.79
14-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.79
15-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.03
16-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.2
17-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.01
18-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.91
19-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.93
20-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.98
21-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.86
22-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.77
23-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.64
24-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.84
25-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2
26-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.85
27-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.07
28-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.53
29-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.56
30-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.86
31-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.84
01-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.63
02-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.65
03-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.77
04-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.27
05-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.01
06-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.01
07-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.76
08-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.63
09-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.51
10-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.78
11-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.01
12-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.94
13-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.85
14-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.57
15-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.45
16-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.55
17-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.73
18-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.05
19-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.04
20-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.26
21-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.15
22-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.15
23-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.59
24-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.54
25-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.77
26-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.77
27-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.58
28-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.27
29-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.33
30-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.4
01-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.77
02-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.82
