date(1995-2025),lat,lon,District,STATE,Dist_Code,TEHSIL,Tmax_Std
02-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.81
03-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.91
04-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.06
05-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.7
06-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.15
07-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.43
08-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.09
09-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.02
10-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.98
11-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.35
12-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.37
13-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.58
14-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.65
15-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3
16-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.32
17-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.53
18-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.34
19-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.48
20-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.49
21-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.49
22-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.24
23-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.17
24-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.23
25-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.13
26-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.34
27-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.69
28-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.95
29-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2
30-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.7
31-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.64
01-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.51
02-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.1
03-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.44
04-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.52
05-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.43
06-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.19
07-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.13
08-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.07
09-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.11
10-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.18
11-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.06
12-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.2
13-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.53
14-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.33
15-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.43
16-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.43
17-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.74
18-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.86
19-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.71
20-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.43
21-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.67
22-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.32
23-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.19
24-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.34
25-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.48
26-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.92
27-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.54
28-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.44
29-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.57
30-04-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.13
01-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.1
02-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.63
03-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.42
04-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.42
05-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.43
06-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.31
07-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.39
08-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.03
09-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.67
10-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.14
11-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2
12-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.13
13-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.23
14-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.08
15-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.3
16-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.05
17-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.1
18-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.5
19-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.03
20-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.89
21-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.82
22-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.98
23-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.83
24-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.94
25-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.04
26-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.85
27-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.91
28-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.29
29-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.41
