issued_date,document_title,source_pdf,local_pdf,mentions_below_normal,mentions_above_normal,mentions_el_nino,mentions_neutral_iod,lpa_percent_mentions,highlight_1,highlight_2,highlight_3
2026-05-15,Monsoon Onset over Kerala,https://internal.imd.gov.in/press_release/20260515_pr_4981.pdf,exports/imd_scrape/pdfs/20260515_pr_4981.pdf,False,False,False,False,,"PRESS RELEASE New Delhi, 15 May 2026 भारत सरकार Government of India पृथ्वी ववज्ञान मंत्रालय (एम. ओ. ई. एस.) Ministry of Earth Sciences (MoES) भारत मौसम ववज्ञान ववभाग INDIA METEOROLOGICAL DEPARTMENT Forecast of the Onset Date of Southwest Monsoon – 2026 over Kerala 1. Background The advance of the southwest monsoon over the Indian mainland is marked by monsoon onset over Kerala and is an important indicator characterizing the transition from the hot and dry season to the rainy season. As the mons",,
2026-05-29,Updated LRF SW Monsoon JJAS + June outlook,https://internal.imd.gov.in/press_release/20260529_pr_5028.pdf,exports/imd_scrape/pdfs/20260529_pr_5028.pdf,True,True,True,True,90|106|94|92|94|92|90|33|92,"Quantitatively, the southwest monsoon seasonal rainfall over the country as a whole is likely to be 90% of the Long Period Average (LPA) with a model error of ±4%, indicating that below normal rainfall is most likely over the country as a whole during the monsoon season (June to September), 2026.","The southwest monsoon seasonal (June to September , 2026) rainfall is most likely to be normal over Northeast India (94 -106% of LPA) and below normal over Central & South Peninsular India (<94% of LPA) and Northwest India (<92% of LPA).",The southwest monsoon seasonal rainfall over the Monsoon Core Zone (MCZ) consisting of most of the rainfed agriculture areas in the country is most likely to be below normal (<94% of LPA).
2026-06-30,Monthly outlook July rainfall & temperature,https://internal.imd.gov.in/press_release/20260630_pr_5107.pdf,exports/imd_scrape/pdfs/20260630_pr_5107.pdf,True,True,True,True,94|94,"Rainfall over India –– Monthly average rainfall over the country as a whole during July 2026 is most likely to be below normal (<94 % of long period average (LPA)). The LPA of rainfall over the country as a whole during July, based on data from 1971 -2020, is about 280.4 mm. Regionally, below-normal rainfall is likely across most parts of the country except some areas of Northwest and Northeast India, Eastcentral India and the eastern peninsular region whe re normal to above-normal rainfall is l","Temperature over India – During July 2026, maximum temperatures are expected to remain above normal across most parts of India except a few isolated areas in Westcentral India where normal to below -normal maximum temperatures are likely . Meanwhile, the minimum temperatures are also expected to be above normal over most regions of the country except some isolated pockets of Central and Northeast India where normal minimum temperatures are likely.","Sea Surface Temperature (SST) - Weak El Niño –Southern Oscillation (ENSO) conditions are currently prevailing over the equatorial Pacific Ocean. The latest forecasts from the Monsoon Mission Climate Forecast System (MMCFS) and other global climate models indicate that these conditions ar e likely to strengthen further during the Southwest Monsoon season. Currently, neutral Indian Ocean Dipole (IOD) conditions are being observed over the Indian Ocean. The model forecast indicates that neutral IOD"
2026-07-31,Aug-Sep half + August monthly outlook,https://internal.imd.gov.in/press_release/20260731_pr_5200.pdf,exports/imd_scrape/pdfs/20260731_pr_5200.pdf,True,True,False,True,94|94|94|94,"Below-normal rainfall (less than 94% of the Long Period Average (LPA)) is likely over the country during the second half of the Southwest Monsoon season (August –September) 2026. During this period, below -normal rainfall is very likely over m any parts of the country except some parts of the Peninsular India, Central India, northern parts of northwest India and East & Northeast India where normal to above-normal rainfall is likely.","During August 2026, rainfall over the country is likely to be below normal (less than 94% of the Long Period Average (LPA)). Below-normal rainfall is very likely over many parts of the country except many areas of Eastern Peninsular India, some areas of Northwest and Central India and isolated areas of East and Northeast India where normal to above-normal rainfall is likely.","During August 2026, the monthly average maximum temperatures are expected to remain above normal over most parts of the country. However, some areas of Northwest and Central India, along with isolated regions of the adjoining Southern Peninsula, are likely to experience normal to below -normal monthly average maximu m temperatures during the month. The monthly average minimum temperatures during August 2026 are expected to remain normal to above normal over most parts of the country."
