forecast_day_index,forecast_date,n_stations_max,forecast_max_mean_c,forecast_max_stdev_c,forecast_max_min_c,forecast_max_max_c,n_stations_min,forecast_min_mean_c,forecast_min_stdev_c,forecast_min_min_c,forecast_min_max_c
1,2026-08-05,51,31.24,2.928,23.0,37.0,51,24.35,2.699,14.0,28.0
2,2026-08-06,51,31.25,3.186,22.0,38.0,51,24.1,2.659,14.0,28.0
3,2026-08-07,51,31.39,3.194,22.0,38.0,51,24.12,2.691,14.0,27.0
4,2026-08-08,51,31.84,3.208,22.0,37.0,51,24.25,2.792,13.0,28.0
5,2026-08-09,51,32.0,3.224,22.0,37.0,51,24.41,2.878,13.0,28.0
6,2026-08-10,51,31.94,3.177,22.0,37.0,51,24.39,2.822,13.0,28.0
7,2026-08-11,49,32.01,2.989,22.0,37.0,49,24.71,2.26,18.0,27.0
