asset_file,url,category_guess
2_20260731_pr_5200_6a7016b26b78a.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/2_20260731_pr_5200_6a7016b26b78a.png,20260731_pr_5200_6a7016b26b78a.png
2_LRF_Performance_62bc4117de4ea.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/2_LRF_Performance_62bc4117de4ea.png,LRF_Performance_62bc4117de4ea.png
2_long range forecast 2026_69f0945bc45c6.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/2_long%20range%20forecast%202026_69f0945bc45c6.png,long range forecast 2026_69f0945bc45c6.png
2_monthly outlook_69f820b5d2469.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/2_monthly%20outlook_69f820b5d2469.png,monthly outlook_69f820b5d2469.png
3_20250930_pr_4339_68e7385474765.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/3_20250930_pr_4339_68e7385474765.png,20250930_pr_4339_68e7385474765.png
3_20260529_pr_5028_6a19200e7f833.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/3_20260529_pr_5028_6a19200e7f833.png,20260529_pr_5028_6a19200e7f833.png
3_20260630_pr_5107_6a4490013fc50.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/3_20260630_pr_5107_6a4490013fc50.png,20260630_pr_5107_6a4490013fc50.png
3_20260731_pr_5200_6a7016b3b6a60.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/3_20260731_pr_5200_6a7016b3b6a60.png,20260731_pr_5200_6a7016b3b6a60.png
3_LRF_Performance_62bc4118ef6db.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/3_LRF_Performance_62bc4118ef6db.png,LRF_Performance_62bc4118ef6db.png
3_long range forecast 2026_69f0945c2e346.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/3_long%20range%20forecast%202026_69f0945c2e346.png,long range forecast 2026_69f0945c2e346.png
3_monthly outlook_69f820b756501.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/3_monthly%20outlook_69f820b756501.png,monthly outlook_69f820b756501.png
4_20250930_pr_4339_68e7385659274.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/4_20250930_pr_4339_68e7385659274.png,20250930_pr_4339_68e7385659274.png
4_20260529_pr_5028_6a19200fdc6de.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/4_20260529_pr_5028_6a19200fdc6de.png,20260529_pr_5028_6a19200fdc6de.png
4_20260630_pr_5107_6a4490028b239.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/4_20260630_pr_5107_6a4490028b239.png,20260630_pr_5107_6a4490028b239.png
4_20260731_pr_5200_6a7016b50979c.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/4_20260731_pr_5200_6a7016b50979c.png,20260731_pr_5200_6a7016b50979c.png
4_LRF_Performance_62bc411a14d9f.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/4_LRF_Performance_62bc411a14d9f.png,LRF_Performance_62bc411a14d9f.png
4_long range forecast 2026_69f0945c47fc1.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/4_long%20range%20forecast%202026_69f0945c47fc1.png,long range forecast 2026_69f0945c47fc1.png
4_monthly outlook_69f820b86a8d6.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/4_monthly%20outlook_69f820b86a8d6.png,monthly outlook_69f820b86a8d6.png
5_20250930_pr_4339_68e738588815d.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/5_20250930_pr_4339_68e738588815d.png,20250930_pr_4339_68e738588815d.png
5_20260529_pr_5028_6a192011560fb.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/5_20260529_pr_5028_6a192011560fb.png,20260529_pr_5028_6a192011560fb.png
5_20260630_pr_5107_6a449003dee68.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/5_20260630_pr_5107_6a449003dee68.png,20260630_pr_5107_6a449003dee68.png
5_20260731_pr_5200_6a7016b64aae6.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/5_20260731_pr_5200_6a7016b64aae6.png,20260731_pr_5200_6a7016b64aae6.png
5_LRF_Performance_62bc411b29183.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/5_LRF_Performance_62bc411b29183.png,LRF_Performance_62bc411b29183.png
5_long range forecast 2026_69f0945d5ff2b.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/5_long%20range%20forecast%202026_69f0945d5ff2b.png,long range forecast 2026_69f0945d5ff2b.png
5_monthly outlook_69f820bb080d9.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/5_monthly%20outlook_69f820bb080d9.png,monthly outlook_69f820bb080d9.png
6_20250930_pr_4339_68e73859882ae.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/6_20250930_pr_4339_68e73859882ae.png,20250930_pr_4339_68e73859882ae.png
6_20260529_pr_5028_6a192012df1b7.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/6_20260529_pr_5028_6a192012df1b7.png,20260529_pr_5028_6a192012df1b7.png
6_20260731_pr_5200_6a7016b798e0c.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/6_20260731_pr_5200_6a7016b798e0c.png,20260731_pr_5200_6a7016b798e0c.png
6_LRF_Performance_62bc411c3e54f.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/6_LRF_Performance_62bc411c3e54f.png,LRF_Performance_62bc411c3e54f.png
6_monthly outlook_69f820bc559a8.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/6_monthly%20outlook_69f820bc559a8.png,monthly outlook_69f820bc559a8.png
7_20260529_pr_5028_6a192014811cc.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/7_20260529_pr_5028_6a192014811cc.png,20260529_pr_5028_6a192014811cc.png
7_20260731_pr_5200_6a7016b8b672e.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/7_20260731_pr_5200_6a7016b8b672e.png,20260731_pr_5200_6a7016b8b672e.png
7_LRF_Performance_62bc411d550b5.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/7_LRF_Performance_62bc411d550b5.png,LRF_Performance_62bc411d550b5.png
8_20260529_pr_5028_6a19201663d32.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/8_20260529_pr_5028_6a19201663d32.png,20260529_pr_5028_6a19201663d32.png
8_LRF_Performance_62bc411e67468.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/8_LRF_Performance_62bc411e67468.png,LRF_Performance_62bc411e67468.png
9_LRF_Performance_62bc411f7989b.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/9_LRF_Performance_62bc411f7989b.png,LRF_Performance_62bc411f7989b.png
