station_id,station_name
99543,Bulandshahar Kvk
42143,Bijnor
100419,Fazilka
99559,Murshidabad
42217,Tadong
100435,Sardulgarh Apmc
99927,Ghaziabad
42296,Kalimpong
100451,Gobichettipalayam
99943,Mumbai-chembur
42366,Kanpur
100468,Palani
99959,"Ahmedabad-iiph,gandhi Nagar"
42403,Coochbehar
100484,Thirupathur
99978,Bhopal-nabi Bagh
42469,Hamirpur
100500,Achampet
99996,Muzaffarabad
42542,Udaipur
100516,Jagtial
100013,Aabu Road
42639,Kandla
100532,Nawabpet
100029,Bhinmal
42712,Asansol
100548,Partur
100045,Deoli
42792,Sundergarh
101002,Bajoli Holi
100061,Jhunjhunu
42860,Betul
101018,Malana
100077,Mahuwa Mandawar
42916,Daman
101034,Shanan
100094,Pilibanga
42969,Angul
101050,Auli
100110,Shahpura
43045,Rayagada
101072,Jageshwar
100126,Akbarpur
43091,Malkangiri
100142,Charra
100149,Fatehpur Apmc
43181,Amaravati-gannavaram
100165,Kasganj
43237,Anantapur
100181,Naugarh Apmc
43296,Bengaluru-hal Airport
100197,Safdarganj
43344,Tiruchirapalli
100213,Urai
43377,Kanyakumari
100229,Dhupguri Principal Market Yard
88805,Hattian (jhelum Valley)
100245,Dhamtari
88822,Hampi
100261,Dabwali
88839,Chandanwari
100277,Kaithal
90016,Soneprayag
100293,Pai Apmc
90188,Khushinagar
100309,Siwani
99371,Namsai
100325,Chhindwara
99387,East Champaran
100341,Krishi Upaj Mandi Samiti-kareli
99403,Narayanpur
100357,Sheopurkalan
99420,Mahendragarh Kvk
99436,Godda
99452,Hanuman Matti
11001,Hamirpur
99468,Madiyahar
30004,Patanitop
99484,Tulga
30025,Panipat
99500,Mayurbhanj
42044,Qazigund
100372,Dondaicha
99516,Jalore Kvk
42077,Una
100388,Balugaon
99534,Kampasagar
42112,Mussorie
100410,Udala
99550,Kannauj Anaughi
42176,Rohtak
100426,Mansa
99917,Anandpur Sahib
42259,Agra (mo Taj)
100442,Arani
99934,Hyderabad-icrisat Patancheru
42328,Jaisalmer
100458,Kilpennathur
99950,Ranchi-kanke
42379,Gorakhpur
100475,Polur
99969,Jaipur-amer
42423,Jorhat
100491,Vandavasi
99985,Panjim-old Goa
42498,Bhagalpur
100507,Echoda
100004,Gumla
42587,Daltonganj
100523,Madnoor
100020,Baran
42671,Sagar
100539,Suryapeta
100036,Chomehla
42740,Surendranagar
100555,Gonda
100052,Gangapur-rj
42809,Kolkata-dum Dum
101009,Dhaulia Ganga
100068,Khajuwala
42882,Sonepur
101025,Pakal Dul
100084,Nagar
42939,Wardha
101041,Tashiding
100101,Raniwara
43003,Mumbai-santacruz
101057,Chakrata
100117,Sujangarh
43064,Pune-lohegaon Airport
101081,Rajaji National Park
100133,Basti
43113,Satara
43137,Khammam
100156,Hathras
43200,Dharwad
100172,Madhoganj
43275,Tirupathi
100188,Hingoli
43318,Coonoor
100204,Shamli
43355,Kottayam
100220,Khatima
50012,Kugti
100236,Mohamad Bazar Krishak Bazar
88812,Thiruvannamalai
100252,Himmatnagar
88829,Kausani
100268,Hodal
90003,Barkot
100284,Meham Apmc
90059,Kumarakom
100300,Raipur Rani Apmc
99362,Kalavacharla
100316,Narwal
99378,Dhubri Kvk
100332,Jaora
99394,Sheikpura
100348,Krishi Upaj Mandi Samiti-singrauli
99411,Dang
100364,Arjuni Morgoan
99427,Baramulla
99443,Palamu Daltongunj
99459,Kawadimatti
21002,Mokokchung
99475,Kalyanpur
30012,Chitrakoot
99491,Lengpui Kvk
31004,Lavale
99507,Nurmahal
42059,Dalhousie
100379,Manora
99525,Ramnadu
42097,Bhatinda
100399,Jaleswar
99541,Motipur Harhwa
42138,Muzaffarnagar
100417,Faridkot Apmc
99557,Ramshai
42187,Moradabad
100433,Ropar
99925,Warangal
42273,Bahraich
100449,Erode
99941,Mumbai-borivali
42361,Gwalior
100466,Natham
99957,Ahmedabad-raikhad
42397,Siliguri
100482,Theni
99976,Srinagar-dal Lake
42459,Shivpuri
100498,Virudhachalam
99994,Khaplu
42539,Deesa
100514,Gudimalkapur
100011,Simdega
42631,Naliya
100530,Narayanpet
100027,Bhadra
42709,Burdwan
100546,Zaheerabad
100043,Degana
42779,Pendra
101000,Allain Duhangan
100059,Jaitaran
42851,Jalgaon
101016,Kishanganga
100075,Loonkaransar
42909,Veraval
101032,Sawra Kuddu
100091,Padampur
42964,Boudh
101048,Abbott Mount
100108,Sangariya
43029,Chandrapur
101068,Guptkashi
100124,Achnera
43086,Ramagundam
101089,Karanjkhop
100140,Chandauli
43169,Raichur
100163,Kannauj
43226,Honnavar
100179,Naanpara
43293,Bengaluru-international Airport
100195,Robertsganj
43339,Kodaikanal
100211,Ujhani
43372,Thiruvananthapuram- Airport
100227,Bethuadahari Principal Market Yard
88803,Mirpur
100243,Balod
88820,Badami
100259,Cheeka
88837,Baltal
