record_id,Longitude,Latitude,Crop Sowing Time,Crop Harvesting Time,season_days,exclusion_reason
321,84.41386111,25.47922,2015-07-10,2014-12-02,-220,harvest_before_sowing
326,84.40922222,25.48017,2015-07-10,2014-12-02,-220,harvest_before_sowing
331,84.18258333,25.44328,2014-07-20,2015-12-05,503,season_exceeds_200_days
334,84.18147222,25.44278,2015-07-12,2014-11-26,-228,harvest_before_sowing
335,84.17838889,25.44361,2015-07-12,2014-11-30,-224,harvest_before_sowing
388,85.47075,25.25531,2003-07-10,2015-11-10,4506,season_exceeds_200_days
408,85.44677778,25.10017,2015-07-20,2014-11-27,-235,harvest_before_sowing
410,85.44738889,25.10013,2015-07-17,2014-11-29,-230,harvest_before_sowing
414,85.43552222,25.10014,2015-07-15,2014-11-27,-230,harvest_before_sowing
